artist	song	lyrics
Beatles	Help!	(When) When I was younger (When I was young) so much younger than today (I never need) I never needed anybody's help in any way (Now) But now these days are gone (These days are gone) and I'm not so self assured (And now I find) Now I find I've changed my mind, I've opened up the doors Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? (Now) And now my life has changed (My life has changed) in oh so many ways (My independence) My independence seems to vanish in the haze (But) But ev'ry now (Every now and then) and then I feel so insecure (I know that I) I know that I just need you like I've never done before Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? When I was younger, so much younger than today I never needed anybody's help in any way (Now) But now these days are gone (These days are gone) and I'm not so self assured (And now I find) Now I find I've changed my mind, I've opened up the doors Help me if you can, I'm feeling down And I do appreciate you being 'round Help me get my feet back on the ground Won't you please, please help me? Help me, help me Ooh 
Beatles	Ticket to Ride	I think I'm gonna be sad, I think it's today, yeah. The girl that's driving me mad Is going away. She's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. She said that living with me Is bringing her down yeah. For she would never be free When I was around. She's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. I don't know why she's ridin' so high, She ought to think twice, She ought to do right by me. Before she gets to saying goodbye, She ought to think twice, She ought to do right by me. I think I'm gonna' be sad, I think it's today yeah. The girl that's driving me mad Is going away, yeah. She's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. I don't know why she's ridin' so high, She ought to think twice, She ought to do right by me. Before she gets to saying goodbye, She ought to think twice, She ought to do right by me She said that living with me, Is bringing her down, yeah. For she would never be free When I was around. Ah, she's got a ticket to ride, She's got a ticket to ride, She's got a ticket to ride, But she don't care. My baby don't care, my baby don't care. My baby don't care, my baby don't care. My baby don't care, my baby don't care. 
Beatles	A Hard Days Night	It's been a hard day's night, and I been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I'll find the things that you do Will make me feel alright You know I work all day to get you money to buy you things And it's worth it just to hear you say you're going to give me everything So why on earth should I moan, 'cause when I get you alone You know I feel ok When I'm home everything seems to be right When I'm home feeling you holding me tight, tight Owww! So why on earth should I moan, 'cause when I get you alone You know I feel ok When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah It's been a hard day's night, and I been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I'll find the things that you do Will make me feel alright You know I feel alright You know I feel alright... 
Beatles	Cant Buy Me Love	Can't buy me love, love Can't buy me love I'll buy you a diamond ring my friend if it makes you feel alright I'll get you anything my friend if it makes you feel alright Cos I don't care too much for money, and money can't buy me love I'll give you all I got to give if you say you'll love me too I may not have a lot to give but what I got I'll give to you I don't care too much for money, money can't buy me love Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love Owww Can't buy me love, everybody tells me so Can't buy me love, no no no, no Say you don't need no diamond ring and I'll be satisfied Tell me that you want the kind of thing that money just can't buy I don't care too much for money, money can't buy me love Can't buy me love, love Can't buy me love 
Beatles	Eleanor Rigby	Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby, picks up the rice In the church where a wedding has been Lives in a dream Waits at the window, wearing the face That she keeps in a jar by the door Who is it for All the lonely people Where do they all come from? All the lonely people Where do they all belong? Father McKenzie, writing the words Of a sermon that no one will hear No one comes near Look at him working, darning his socks In the night when there's nobody there What does he care All the lonely people Where do they all come from? All the lonely people Where do they all belong? Ah look at all the lonely people Ah look at all the lonely people Eleanor Rigby, died in the church And was buried along with her name Nobody came Father McKenzie, wiping the dirt From his hands as he walks from the grave No one was saved All the lonely people Where do they all come from? All the lonely people Where do they all belong? 
Beatles	I Want to Hold Your Hand	Oh yeah, I'll tell you something I think you'll understand When I say that something I wanna hold your hand I wanna hold your hand I wanna hold your hand Oh please, say to me You'll let me be your man And please, say to me You'll let me hold your hand You let me hold your hand I wanna hold your hand And when I touch you I feel happy Inside It's such a feeling that my love I can't hide I can't hide I can't hide Yeah, you've got that something I think you'll understand When I say that something I wanna hold your hand I wanna hold your hand I wanna hold your hand And when I touch you I feel happy Inside It's such a feeling that my love I can't hide I can't hide I can't hide Yeah, you've got that something I think you'll understand When I feel that something I wanna hold your hand I wanna hold your hand I wanna hold your hand I wanna hold your hand 
Beatles	She Loves You	She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah, yeah You think you lost your love Well, I saw her yesterday It's you she's thinking of And she told me what to say She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad She said you hurt her so She almost lost her mind But now she says she knows You're not the hurting kind She says she loves you And you know that can't be bad Yes, she loves you And you know you should be glad, ooh She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah And with a love like that You know you should be glad You know it's up to you I think it's only fair Pride can hurt you too Apologize to her Because she loves you And you know that can't be bad Yes, she loves you And you know you should be glad, ooh She loves you, yeah, yeah, yeah She loves you, yeah, yeah, yeah With a love like that You know you should be glad With a love like that You know you should be glad With a love like that You know you should be glad Yeah, yeah, yeah Yeah, yeah, yeah, yeah 
Beatles	Yesterday	Yesterday all my troubles seemed so far away. Now it looks as though they're here to stay. Oh, I believe in yesterday. Suddenly I'm not half the man I used to be. There's a shadow hanging over me. Oh, yesterday came suddenly. Why she had to go, I don't know, she wouldn't say. I said something wrong, now I long for yesterday. Yesterday love was such an easy game to play. Now I need a place to hide away. Oh, I believe in yesterday. Why she had to go, I don't know, she wouldn't say. I said something wrong, now I long for yesterday. Yesterday love was such an easy game to play. Now I need a place to hide away. Oh, I believe in yesterday. Mm mm mm mm mm mm mm 
Metallica	Nothing Else Matters	So close no matter how far Couldn't be much more from the heart Forever trusting who we are And nothing else matters Never opened myself this way Life is ours, we live it our way All these words I don't just say And nothing else matters Trust I seek and I find in you Every day for us something new Open mind for a different view And nothing else matters Never cared for what they do Never cared for what they know But I know So close no matter how far Couldn't be much more from the heart Forever trusting who we are And nothing else matters Never cared for what they do Never cared for what they know But I know I never opened myself this way Life is ours, we live it our way All these words I don't just say And nothing else matters Trust I seek and I find in you Every day for us something new Open mind for a different view And nothing else matters Never cared for what they say Never cared for games they play Never cared for what they do Never cared for what they know And I know So close no matter how far Couldn't be much more from the heart Forever trusting who we are No nothing else matters 
Metallica	Enter Sandman	Say your prayers, little one Don't forget, my son To include everyone Tuck you in, warm within Keep you free from sin Till the Sandman he comes Sleep with one eye open Gripping your pillow tight Exit: light Enter: night Take my hand We're off to never never land Something's wrong, shut the light Heavy thoughts tonight And they aren't of Snow White Dreams of war, dreams of liars Dreams of dragon's fire And of things that will bite Sleep with one eye open Gripping your pillow tight Exit: light Enter: night Take my hand We're off to never never land Now I lay me down to sleep Pray the Lord my soul to keep If I die before I wake Pray the Lord my soul to take Hush little baby, don't say a word And never mind that noise you heard It's just the beasts under your bed In your closet, in your head Exit: light Enter: night Grain of sand Exit: light Enter: night Take my hand We're off to never never land 
